timestamp,code,date,close,atr,iv,poc,adv20,buy_price,stop_loss,target_price,risk_reward,risk_reward_after_slippage,decision,action,suggested_shares,circuit_breaker
2026-03-17 16:24:41,AAPL,2024-01-15 00:00:00,98.47,2.81,,94.68,992756.0,96.59,93.26,99.23,0.8,0.7,HOLD_WITH_POSITION,持仓观望,300,False
2026-03-17 16:28:51,0700.HK,2026-03-17 08:08:12,550.0,17.92,,552.26,28449404.0,533.0,533.21,566.0,,16.6,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-17 16:31:19,601012,2026-03-17 07:00:00,18.79,0.61,,19.09,194946356.0,18.43,18.22,19.47,5.0,3.5,HOLD_WITH_POSITION,持仓观望,3500,False
2026-03-17 16:33:24,000876,2026-03-17 07:04:15,8.79,0.15,,8.74,33021038.0,8.78,8.67,9.0,2.0,1.4,HOLD_WITH_POSITION,持仓观望,16600,False
2026-03-17 16:35:13,600276,2026-03-17 07:00:02,56.3,1.43,,57.22,45103808.0,55.63,56.37,59.49,,,SELL,清仓,0,False
2026-03-17 16:37:45,0700.HK,2026-03-17 08:08:12,550.0,18.08,,556.22,27670733.0,533.0,532.79,566.0,157.1,13.6,HOLD_WITH_POSITION,持仓观望,100,False
2026-03-17 16:38:19,1810.HK,2026-03-17 08:08:12,35.36,1.24,,33.23,154187130.0,34.6,34.39,36.86,10.8,6.3,HOLD_WITH_POSITION,持仓观望,2000,False
2026-03-17 16:38:48,TSLA,2026-03-16 20:00:01,395.56,13.53,,400.52,58723343.0,385.39,390.24,416.9,,,HOLD_WITH_POSITION,持仓观望,300,False
2026-03-17 16:39:20,NVDA,2026-03-16 20:00:02,183.22,6.25,,188.32,197143551.0,182.76,182.0,194.29,15.2,7.5,HOLD_WITH_POSITION,持仓观望,1600,False
2026-03-17 16:39:52,QQQ,2026-03-16 20:00:00,600.38,10.16,,605.08,70289428.0,591.87,591.42,615.59,52.7,8.0,HOLD_WITH_POSITION,持仓观望,200,False
